ANY,Codi municipi,Nom municipi,Comarca,Província,Núm instal·lacions,Potència (kW),Producció bruta (kWh),Consums propis (kWh),Producció neta (kWh),Consums bombament (kWh),Produccció disponible (kWh),Autoconsum (kWh),Vendes a la xarxa (kWh),Distribució pròpia (kWh),Energia tèrmica recuperada (Kcal)
2015,25207,SOLSONA,SOLSONES,LLEIDA,15,470.1,"786,036.00",0,"786,036.00",0,"786,036.00","19,800.00","766,236.00",0,0
2016,25207,SOLSONA,SOLSONES,LLEIDA,15,470.1,0,0,0,0,0,0,0,0,0
2017,25207,SOLSONA,SOLSONES,LLEIDA,15,470.1,0,0,0,0,0,0,0,0,0
2018,25207,SOLSONA,SOLSONES,LLEIDA,15,470.1,0,0,0,0,0,0,0,0,0
2012,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8272,SORA,OSONA,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25209,SORT,PALLARS SOBIRA,LLEIDA,2,4820,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25209,SORT,PALLARS SOBIRA,LLEIDA,4,4860,"14,727,118.00",0,"14,727,118.00",0,"14,727,118.00",0,"14,444,205.00","282,913.00",0
2012,25209,SORT,PALLARS SOBIRA,LLEIDA,4,5388,"14,147,488.00",0,"14,147,488.00",0,"14,147,488.00",0,"13,664,752.00","482,736.00",0
2013,25209,SORT,PALLARS SOBIRA,LLEIDA,4,5388,"18,384,316.00",0,"18,384,316.00",0,"18,384,316.00",0,"18,384,316.00",0,0
2014,25209,SORT,PALLARS SOBIRA,LLEIDA,4,5388,"14,516,111.00",0,"14,516,111.00",0,"14,516,111.00",0,"14,516,111.00",0,0
2015,25209,SORT,PALLARS SOBIRA,LLEIDA,4,5388,"11,821,027.00",0,"11,821,027.00",0,"11,821,027.00",0,"11,821,027.00",0,0
2016,25209,SORT,PALLARS SOBIRA,LLEIDA,4,5388,"12,628,847.00",0,"12,628,847.00",0,"12,628,847.00",0,"12,628,847.00",0,0
2017,25209,SORT,PALLARS SOBIRA,LLEIDA,3,5068,"10,887,660.00",0,"10,887,660.00",0,"10,887,660.00",0,"10,887,660.00",0,0
2018,25209,SORT,PALLARS SOBIRA,LLEIDA,3,5068,"14,257,063.00",0,"14,257,063.00",0,"14,257,063.00",0,"14,257,063.00",0,0
2013,25210,SOSES,SEGRIA,LLEIDA,1,198,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25210,SOSES,SEGRIA,LLEIDA,1,198,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25210,SOSES,SEGRIA,LLEIDA,1,198,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25210,SOSES,SEGRIA,LLEIDA,1,198,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25210,SOSES,SEGRIA,LLEIDA,1,198,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25210,SOSES,SEGRIA,LLEIDA,1,198,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8273,SUBIRATS,ALT PENEDES,BARCELONA,2,104.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8274,SURIA,BAGES,BARCELONA,8,890,"2,340,766.00",0,"2,340,766.00",0,"2,340,766.00",0,"2,340,766.00",0,0
2011,8274,SURIA,BAGES,BARCELONA,8,890,"1,931,985.00",0,"1,931,985.00",0,"1,931,985.00",0,"1,931,985.00",0,0
2012,8274,SURIA,BAGES,BARCELONA,8,890,"1,940,142.00",0,"1,940,142.00",0,"1,940,142.00",0,"1,940,142.00",0,0
2013,8274,SURIA,BAGES,BARCELONA,8,890,"2,312,548.00",0,"2,312,548.00",0,"2,312,548.00",0,"2,312,548.00",0,0
2014,8274,SURIA,BAGES,BARCELONA,8,890,"2,143,682.00",0,"2,143,682.00",0,"2,143,682.00",0,"2,143,682.00",0,0
2015,8274,SURIA,BAGES,BARCELONA,8,890,"2,229,731.00",0,"2,229,731.00",0,"2,229,731.00",0,"2,229,731.00",0,0
2016,8274,SURIA,BAGES,BARCELONA,8,890,"1,993,316.00",0,"1,993,316.00",0,"1,993,316.00",0,"1,993,316.00",0,0
2017,8274,SURIA,BAGES,BARCELONA,8,890,"1,872,478.00",0,"1,872,478.00",0,"1,872,478.00",0,"1,872,478.00",0,0
2018,8274,SURIA,BAGES,BARCELONA,8,890,"2,271,115.00",0,"2,271,115.00",0,"2,271,115.00",0,"2,271,115.00",0,0
2010,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,17194,SUSQUEDA,SELVA,GIRONA,1,86300,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8277,TALAMANCA,BAGES,BARCELONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25215,TALARN,PALLARS JUSSA,LLEIDA,2,37600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25216,TALAVERA,SEGARRA,LLEIDA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,17195,"TALLADA D'EMPORDA, LA",BAIX EMPORDA,GIRONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8278,TARADELL,OSONA,BARCELONA,8,221.6,"305,288.00",0,"305,288.00",0,"305,288.00",0,"305,288.00",0,0
2011,8278,TARADELL,OSONA,BARCELONA,9,231.6,"318,688.00",0,"318,688.00",0,"318,688.00",0,"318,688.00",0,0
2012,8278,TARADELL,OSONA,BARCELONA,9,231.6,"342,751.00",0,"342,751.00",0,"342,751.00",0,"342,751.00",0,0
2013,8278,TARADELL,OSONA,BARCELONA,9,231.6,"338,762.00",0,"338,762.00",0,"338,762.00",0,"338,762.00",0,0
2014,8278,TARADELL,OSONA,BARCELONA,9,231.6,"321,111.00",0,"321,111.00",0,"321,111.00",0,"321,111.00",0,0
2015,8278,TARADELL,OSONA,BARCELONA,9,231.6,"345,837.00",0,"345,837.00",0,"345,837.00",0,"345,837.00",0,0
2016,8278,TARADELL,OSONA,BARCELONA,9,231.6,0,0,0,0,0,0,0,0,0
2017,8278,TARADELL,OSONA,BARCELONA,9,231.6,0,0,0,0,0,0,0,0,0
2018,8278,TARADELL,OSONA,BARCELONA,9,231.6,0,0,0,0,0,0,0,0,0
2010,43148,TARRAGONA,TARRAGONES,TARRAGONA,24,853448.9,"3,192,038,754.00","104,055,327.00","3,087,983,427.00",0,"214,386,982.00","17,322,674.00","197,064,308.00",0,"503,991,436,860.00"
2011,43148,TARRAGONA,TARRAGONES,TARRAGONA,26,846990.9,"2,200,424,618.00","77,659,123.00","2,122,765,495.00",0,"269,356,715.00","19,926,529.00","249,430,186.00",0,"517,143,631,899.00"
2012,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,449370.9,"895,285,197.00","39,451,874.00","855,833,323.00",0,"240,280,676.00","28,286,872.00","211,993,804.00",0,"356,375,774,678.00"
2013,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,450302,"449,792,491.00","40,020,180.00","409,772,311.00",0,"252,622,752.00","19,681,277.00","232,941,475.00",0,"331,816,132,287.00"
2014,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,450346.9,"315,925,732.00","35,682,349.00","280,243,383.00",0,"261,633,702.00","21,393,895.00","240,239,807.00",0,"306,863,346,244.00"
2015,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,450346.9,"770,476,687.00","40,180,804.00","730,295,883.00",0,"247,799,893.00","6,150,399.00","241,649,494.00",0,"324,791,260,199.00"
2016,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,450346.9,"800,950,507.00","48,239,573.00","752,710,934.00",0,"280,348,176.00","2,066,542.00","278,281,634.00",0,"364,949,951,215.00"
2017,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,450346.9,"895,459,851.00","45,369,000.00","850,090,851.00",0,"264,249,416.00",0,"264,249,416.00",0,"348,756,153,130.00"
2018,43148,TARRAGONA,TARRAGONES,TARRAGONA,28,450346.9,"572,862,979.00","29,270,371.00","543,592,608.00",0,"276,448,015.00",0,"276,448,015.00",0,"288,485,125,511.00"
2018,8283,TONA,OSONA,BARCELONA,8,187.6,0,0,0,0,0,0,0,0,0
2010,25217,TARREGA,URGELL,LLEIDA,46,6197.6,"40,570,517.00","1,222,759.00","39,347,758.00",0,"39,347,758.00",0,"39,347,758.00",0,"60,302,244,540.00"
2011,25217,TARREGA,URGELL,LLEIDA,47,6217.6,"40,802,951.00","1,220,518.00","39,582,433.00",0,"39,582,433.00",0,"39,582,433.00",0,"59,764,019,560.00"
2012,25217,TARREGA,URGELL,LLEIDA,51,6377.6,"39,528,629.00","1,166,210.00","38,362,419.00",0,"38,362,419.00",0,"38,362,419.00",0,"58,122,214,200.00"
2013,25217,TARREGA,URGELL,LLEIDA,53,6395.6,"41,366,695.00","1,233,227.00","40,133,468.00",0,"40,133,468.00",0,"40,133,468.00",0,"61,362,780,200.00"
2014,25217,TARREGA,URGELL,LLEIDA,53,6395.6,"37,200,027.00","1,080,703.00","36,119,324.00",0,"36,119,324.00","3,346.00","36,115,978.00",0,"54,640,315,000.00"
2015,25217,TARREGA,URGELL,LLEIDA,53,6395.6,"41,545,049.00","958,683.00","40,586,366.00",0,"40,586,366.00","4,323.00","40,582,043.00",0,"60,527,918,000.00"
2016,25217,TARREGA,URGELL,LLEIDA,53,6395.6,"37,631,546.00","600,491.00","37,031,055.00",0,"37,031,055.00",0,"37,031,055.00",0,"61,340,411,600.00"
2017,25217,TARREGA,URGELL,LLEIDA,53,6395.6,"37,611,700.00","575,288.00","37,036,412.00",0,"37,036,412.00",0,"37,036,412.00",0,"60,223,116,800.00"
2018,25217,TARREGA,URGELL,LLEIDA,53,6395.6,"38,808,216.00","540,679.00","38,267,537.00",0,"38,267,537.00",0,"38,267,537.00",0,"60,322,775,320.00"
2010,25218,TARRES,GARRIGUES,LLEIDA,1,40500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25218,TARRES,GARRIGUES,LLEIDA,1,40500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25218,TARRES,GARRIGUES,LLEIDA,1,40500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25218,TARRES,GARRIGUES,LLEIDA,2,49500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25218,TARRES,GARRIGUES,LLEIDA,2,49500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25218,TARRES,GARRIGUES,LLEIDA,2,49500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25218,TARRES,GARRIGUES,LLEIDA,2,49500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25218,TARRES,GARRIGUES,LLEIDA,2,49500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25218,TARRES,GARRIGUES,LLEIDA,2,49500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25219,TARROJA DE SEGARRA,SEGARRA,LLEIDA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8275,TAVERNOLES,OSONA,BARCELONA,1,4.6,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8280,TAVERTET,OSONA,BARCELONA,1,96,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8281,TEIA,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25220,TERMENS,NOGUERA,LLEIDA,3,7779.9,"36,717,978.00","885,000.00","35,832,978.00",0,"53,978.00",0,"53,978.00",0,0
2011,25220,TERMENS,NOGUERA,LLEIDA,3,7779.9,"26,801,248.00","715,000.00","26,086,248.00",0,"477,248.00",0,"477,248.00",0,0
2012,25220,TERMENS,NOGUERA,LLEIDA,3,7779.9,"21,629,959.00","635,000.00","20,994,959.00",0,"471,959.00",0,"471,959.00",0,0
2013,25220,TERMENS,NOGUERA,LLEIDA,4,7799.9,"44,930,617.00","953,000.00","43,977,617.00",0,"462,617.00","8,000.00","454,617.00",0,0
2014,25220,TERMENS,NOGUERA,LLEIDA,5,7819.9,"23,861,246.00","566,000.00","23,295,246.00",0,"495,246.00","15,707.00","479,539.00",0,0
2015,25220,TERMENS,NOGUERA,LLEIDA,5,7819.9,"33,218,305.00","716,000.00","32,502,305.00",0,"489,305.00","17,463.00","471,842.00",0,0
2016,25220,TERMENS,NOGUERA,LLEIDA,5,7819.9,"27,151,000.00","675,000.00","26,476,000.00",0,0,0,0,0,0
2017,25220,TERMENS,NOGUERA,LLEIDA,5,7819.9,"25,511,712.00","663,098.00","24,848,614.00",0,0,0,0,0,0
2018,25220,TERMENS,NOGUERA,LLEIDA,5,7819.9,"37,559,840.00","791,332.00","36,768,508.00",0,0,0,0,0,0
2010,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,30,11401.3,"4,126,664.00","164,610.00","3,962,054.00",0,"3,962,054.00","392,837.00","3,569,217.00",0,"114,000,000.00"
2011,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,30,2436.3,"4,052,484.00","172,993.00","3,879,491.00",0,"3,879,491.00","450,783.00","3,428,708.00",0,"2,000,000.00"
2012,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,30,2436.3,"4,182,211.00","161,220.00","4,020,991.00",0,"4,020,991.00","487,174.00","3,533,817.00",0,0
2013,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,31,3436.3,"5,213,822.00","163,830.00","5,049,992.00",0,"5,049,992.00","448,582.00","4,601,410.00",0,0
2014,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,32,3446.3,"5,319,372.00","176,070.00","5,143,302.00",0,"5,143,302.00","495,058.00","4,648,244.00",0,0
2015,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,32,3446.3,"5,648,258.00","172,980.00","5,475,278.00",0,"5,475,278.00","85,663.00","5,389,615.00",0,0
2016,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,32,3446.3,"3,010,400.00","209,161.00","2,801,239.00",0,"2,801,239.00",0,"2,801,239.00",0,0
2017,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,32,3446.3,"2,891,160.00","209,778.00","2,681,382.00",0,"2,681,382.00",0,"2,681,382.00",0,0
2018,8279,TERRASSA,VALLES OCCIDENTAL,BARCELONA,32,3446.3,"2,303,270.00","196,786.00","2,106,484.00",0,"2,106,484.00",0,"2,106,484.00",0,0
2011,8282,TIANA,MARESME,BARCELONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8282,TIANA,MARESME,BARCELONA,2,27.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25222,TIURANA,NOGUERA,LLEIDA,2,30680,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43150,TIVISSA,RIBERA D'EBRE,TARRAGONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8283,TONA,OSONA,BARCELONA,8,187.6,"254,972.00",0,"254,972.00",0,"254,972.00",0,"254,972.00",0,0
2011,8283,TONA,OSONA,BARCELONA,9,207.6,"289,052.00",0,"289,052.00",0,"289,052.00",0,"289,052.00",0,0
2012,8283,TONA,OSONA,BARCELONA,9,207.6,"312,183.00",0,"312,183.00",0,"312,183.00",0,"312,183.00",0,0
